Ciudad,via,tipo radar,km,direccion
,A-6,Radar Fijo,541.336,Decreciente
,A-6,Radar Fijo,561.163,Creciente
,AC-11,Radar Fijo,3.129,Decreciente
,AC-11,Radar Fijo,3.131,Creciente
,AC-110,Radar Móvil,0.000-18.550,18.550
,AC-12,Radar Fijo,4.561,Creciente
,AC-12,Radar Fijo,8.33,Decreciente
,AC-122,Radar Móvil,0.000-4.900,4.900
,AC-133,Radar Móvil,0.000-10.950,10.950
,AC-231,Radar Móvil,0.000-17.720,17.720
,AC-305,Radar Móvil,25.020-39.700,39.700
,AC-418,Radar Móvil,9.080-9.110,9.110
,AC-441,Radar Móvil,0.000-18.490,18.490
,AC-523,Radar Móvil,8.430-15.640,15.640
,AC-524,Radar Móvil,5.010-19.810,19.810
,AC-543,Radar Móvil,0.000-6.090,6.090
,AC-543,Radar Móvil,7.330-31.640,31.640
,AC-544,Radar Móvil,0.000-13.090,13.090
,AC-546,Radar Móvil,2.340-15.070,15.070
,AC-550,Radar Móvil,41.910-106.520,106.520
,AC-552,Radar Móvil,2.140-31.010,31.010
,AC-552,Radar Fijo,3.57,Creciente
,AC-552,Radar Móvil,34.080-88.820,88.820
,AC-564,Radar Móvil,1.660-26.160,26.160
,AC-566,Radar Móvil,2.215-41.780,41.780
,AC-840,Radar Móvil,0.000-28.530,28.530
,AC-840,Radar Fijo,14.8,Creciente
,AC-862,Radar Móvil,0.000-69.510,69.510
,AC-862,Radar Fijo,37.6,Creciente
,AG-11,Radar Fijo,5.134,Creciente
,AG-11,Radar Fijo,10.852,Creciente
,AG-11,Radar Fijo,26.579,Decreciente
,AG-11,Radar Fijo,20.03,Decreciente
,AG-55,Radar Tramo,11.713(3.030m),m)
,AG-64,Radar Tramo,12.825(5.688m),m)
,AP-9,Radar Fijo,83.476,Creciente
,AP-9F,Radar Tramo,31.137(1.222m),m)
,CG-1.5,Radar Móvil,12.310-26.780,26.780
,CG-1.5,Radar Fijo,16.1,Decreciente
,DP-1914,Radar Móvil,0.000-29.170,29.170
,DP-1914,Radar Fijo,7.7,Creciente
,DP-5813,Radar Móvil,0.100-1.290,1.290
,DP-5813,Radar Móvil,2.100-5.800,5.800
,FE-14,Radar Fijo,4.249,Creciente
,N-525,Radar Móvil,321.140-337.600,337.600
,N-547,Radar Fijo,87.417,Creciente
,N-547,Radar Móvil,42.590-88.740,88.740
,N-550,Radar Fijo,76.925,Creciente
,N-550,Radar Móvil,11.573-36.908,36.908
,N-550,Radar Fijo,55.8,Decreciente
,N-550,Radar Tramo,56.116(1.445m),m)
,N-550,Radar Móvil,68.690-83.320,83.320
,N-634,Radar Fijo,680.038,Creciente
,N-634,Radar Fijo,695.255,Creciente
,N-634,Radar Móvil,672.000-688.000,688.000
,N-651,Radar Móvil,0.290-27.670,27.670
,N-VI,Radar Móvil,546.430-588.190,588.190
,VG-1.2,Radar Móvil,0.000-5.810,5.810
,A-30,Radar Fijo,49.234,Creciente
,A-31,Radar Fijo,50.601,Creciente
,A-31,Radar Fijo,127.006,Creciente
,A-31,Radar Fijo,137.894,Decreciente
,CM-220,Radar Móvil,17.300-34.800,34.800
,CM-3106,Radar Móvil,19.390-32.390,32.390
,CM-3106,Radar Móvil,36.140-59.350,59.350
,CM-3121,Radar Móvil,0.000-30.870,30.870
,CM-313,Radar Móvil,33.117-65.100,65.100
,CM-313,Radar Móvil,65.100-127.430,127.430
,CM-3135,Radar Móvil,0.000-16.890,16.890
,CM-3135,Radar Móvil,17.830-37.400,37.400
,CM-320,Radar Móvil,5.210-24.300,24.300
,CM-3211,Radar Móvil,19.070-29.910,29.910
,CM-3212,Radar Móvil,0.000-10.280,10.280
,CM-3213,Radar Móvil,0.020-30.220,30.220
,CM-3215,Radar Móvil,0.610-17.090,17.090
,CM-3218,Radar Móvil,8.080-11.880,11.880
,CM-3222,Radar Móvil,0.050-17.960,17.960
,CM-3226,Radar Móvil,0.930-21.960,21.960
,CM-332,Radar Móvil,0.000-56.010,56.010
,CM-400,Radar Móvil,20.100-44.070,44.070
,CM-412,Radar Móvil,158.850-168.520,168.520
,CM-412,Radar Móvil,170.770-272.750,272.750
,CM-412,Radar Móvil,274.610-344.680,344.680
,N-301,Radar Móvil,257.160-274.770,274.770
,N-301,Radar Móvil,277.510-300.900,300.900
,N-301,Radar Móvil,303.300-337.450,337.450
,N-310,Radar Móvil,121.180-144.990,144.990
,N-310,Radar Fijo,126.39,Creciente
,N-322,Radar Fijo,315.988,Creciente
,N-322,Radar Fijo,327.274,Decreciente
,N-322,Radar Móvil,268.680-289.520,289.520
,N-322,Radar Móvil,316.290-347.100,347.100
,N-322,Radar Móvil,356.920-395.380,395.380
,N-322,Radar Fijo,367.1,Creciente
,N-322,Radar Móvil,408.500-425.590,425.590
,N-344,Radar Tramo,109.995(8.545m),m)
,N-344,Radar Tramo,117.995(8.542m),m)
,N-430,Radar Fijo,484.505,Creciente
,N-430,Radar Móvil,419.520-445.980,445.980
,N-430,Radar Móvil,463.750-511.940,511.940
,N-430,Radar Tramo,486.58(16.387m),m)
,N-430,Radar Tramo,502.945(16.387m),m)
,A-7,Radar Fijo,487.695,Creciente
,A-7,Radar Fijo,521.996,Creciente
,A-70,Radar Fijo,2.308,Creciente
,A-70,Radar Fijo,2.494,Decreciente
,A-70,Radar Fijo,4.375,Creciente
,A-70,Radar Fijo,4.629,Decreciente
,A-70,Radar Fijo,18.5,Decreciente
,A-70,Radar Fijo,23.39,Decreciente
,CV-70,Radar Móvil,0.000-48.800,48.800
,CV-70,Radar Móvil,48.790-49.300,49.300
,CV-725,Radar Móvil,4.480-8.130,8.130
,CV-734,Radar Fijo,6.05,Creciente
,CV-767,Radar Móvil,1.040-5.460,5.460
,CV-807,Radar Móvil,0.000-7.080,7.080
,CV-809,Radar Móvil,0.000-5.350,5.350
,CV-81,Radar Móvil,21.050-41.150,41.150
,CV-81,Radar Móvil,41.110-57.000,57.000
,CV-820,Radar Móvil,0.000-8.890,8.890
,CV-83,Radar Fijo,7.05,Decreciente
,CV-84,Radar Móvil,0.000-6.290,6.290
,CV-855,Radar Móvil,7.180-9.540,9.540
,CV-865,Radar Móvil,0.120-8.760,8.760
,CV-865,Radar Móvil,8.760-11.740,11.740
,CV-900,Radar Móvil,0.000-13.260,13.260
,CV-904,Radar Móvil,0.000-6.540,6.540
,CV-91,Radar Fijo,18.888,Decreciente
,CV-91,Radar Móvil,12.560-18.430,18.430
,CV-91,Radar Fijo,15.3,Creciente
,CV-95,Radar Móvil,0.000-22.840,22.840
