Ciudad,via,tipo radar,km,direccion
A Coruña,A-6,Radar Fijo,541.336,Decreciente
A Coruña,A-6,Radar Fijo,561.163,Creciente
A Coruña,AC-11,Radar Fijo,3.129,Decreciente
A Coruña,AC-11,Radar Fijo,3.131,Creciente
A Coruña,AC-110,Radar Móvil,0.000-18.550,18.550
A Coruña,AC-12,Radar Fijo,4.561,Creciente
A Coruña,AC-12,Radar Fijo,8.33,Decreciente
A Coruña,AC-122,Radar Móvil,0.000-4.900,4.900
A Coruña,AC-133,Radar Móvil,0.000-10.950,10.950
A Coruña,AC-231,Radar Móvil,0.000-17.720,17.720
A Coruña,AC-305,Radar Móvil,25.020-39.700,39.700
A Coruña,AC-418,Radar Móvil,9.080-9.110,9.110
A Coruña,AC-441,Radar Móvil,0.000-18.490,18.490
A Coruña,AC-523,Radar Móvil,8.430-15.640,15.640
A Coruña,AC-524,Radar Móvil,5.010-19.810,19.810
A Coruña,AC-543,Radar Móvil,0.000-6.090,6.090
A Coruña,AC-543,Radar Móvil,7.330-31.640,31.640
A Coruña,AC-544,Radar Móvil,0.000-13.090,13.090
A Coruña,AC-546,Radar Móvil,2.340-15.070,15.070
A Coruña,AC-550,Radar Móvil,41.910-106.520,106.520
A Coruña,AC-552,Radar Móvil,2.140-31.010,31.010
A Coruña,AC-552,Radar Fijo,3.57,Creciente
A Coruña,AC-552,Radar Móvil,34.080-88.820,88.820
A Coruña,AC-564,Radar Móvil,1.660-26.160,26.160
A Coruña,AC-566,Radar Móvil,2.215-41.780,41.780
A Coruña,AC-840,Radar Móvil,0.000-28.530,28.530
A Coruña,AC-840,Radar Fijo,14.8,Creciente
A Coruña,AC-862,Radar Móvil,0.000-69.510,69.510
A Coruña,AC-862,Radar Fijo,37.6,Creciente
A Coruña,AG-11,Radar Fijo,5.134,Creciente
A Coruña,AG-11,Radar Fijo,10.852,Creciente
A Coruña,AG-11,Radar Fijo,26.579,Decreciente
A Coruña,AG-11,Radar Fijo,20.03,Decreciente
A Coruña,AG-55,Radar Tramo,11.713(3.030m),m)
A Coruña,AG-64,Radar Tramo,12.825(5.688m),m)
A Coruña,AP-9,Radar Fijo,83.476,Creciente
A Coruña,AP-9F,Radar Tramo,31.137(1.222m),m)
A Coruña,CG-1.5,Radar Móvil,12.310-26.780,26.780
A Coruña,CG-1.5,Radar Fijo,16.1,Decreciente
A Coruña,DP-1914,Radar Móvil,0.000-29.170,29.170
A Coruña,DP-1914,Radar Fijo,7.7,Creciente
A Coruña,DP-5813,Radar Móvil,0.100-1.290,1.290
A Coruña,DP-5813,Radar Móvil,2.100-5.800,5.800
A Coruña,FE-14,Radar Fijo,4.249,Creciente
A Coruña,N-525,Radar Móvil,321.140-337.600,337.600
A Coruña,N-547,Radar Fijo,87.417,Creciente
A Coruña,N-547,Radar Móvil,42.590-88.740,88.740
A Coruña,N-550,Radar Fijo,76.925,Creciente
A Coruña,N-550,Radar Móvil,11.573-36.908,36.908
A Coruña,N-550,Radar Fijo,55.8,Decreciente
A Coruña,N-550,Radar Tramo,56.116(1.445m),m)
A Coruña,N-550,Radar Móvil,68.690-83.320,83.320
A Coruña,N-634,Radar Fijo,680.038,Creciente
A Coruña,N-634,Radar Fijo,695.255,Creciente
A Coruña,N-634,Radar Móvil,672.000-688.000,688.000
A Coruña,N-651,Radar Móvil,0.290-27.670,27.670
A Coruña,N-VI,Radar Móvil,546.430-588.190,588.190
A Coruña,VG-1.2,Radar Móvil,0.000-5.810,5.810
Albacete,A-30,Radar Fijo,49.234,Creciente
Albacete,A-31,Radar Fijo,50.601,Creciente
Albacete,A-31,Radar Fijo,127.006,Creciente
Albacete,A-31,Radar Fijo,137.894,Decreciente
Albacete,CM-220,Radar Móvil,17.300-34.800,34.800
Albacete,CM-3106,Radar Móvil,19.390-32.390,32.390
Albacete,CM-3106,Radar Móvil,36.140-59.350,59.350
Albacete,CM-3121,Radar Móvil,0.000-30.870,30.870
Albacete,CM-313,Radar Móvil,33.117-65.100,65.100
Albacete,CM-313,Radar Móvil,65.100-127.430,127.430
Albacete,CM-3135,Radar Móvil,0.000-16.890,16.890
Albacete,CM-3135,Radar Móvil,17.830-37.400,37.400
Albacete,CM-320,Radar Móvil,5.210-24.300,24.300
Albacete,CM-3211,Radar Móvil,19.070-29.910,29.910
Albacete,CM-3212,Radar Móvil,0.000-10.280,10.280
Albacete,CM-3213,Radar Móvil,0.020-30.220,30.220
Albacete,CM-3215,Radar Móvil,0.610-17.090,17.090
Albacete,CM-3218,Radar Móvil,8.080-11.880,11.880
Albacete,CM-3222,Radar Móvil,0.050-17.960,17.960
Albacete,CM-3226,Radar Móvil,0.930-21.960,21.960
Albacete,CM-332,Radar Móvil,0.000-56.010,56.010
Albacete,CM-400,Radar Móvil,20.100-44.070,44.070
Albacete,CM-412,Radar Móvil,158.850-168.520,168.520
Albacete,CM-412,Radar Móvil,170.770-272.750,272.750
Albacete,CM-412,Radar Móvil,274.610-344.680,344.680
Albacete,N-301,Radar Móvil,257.160-274.770,274.770
Albacete,N-301,Radar Móvil,277.510-300.900,300.900
Albacete,N-301,Radar Móvil,303.300-337.450,337.450
Albacete,N-310,Radar Móvil,121.180-144.990,144.990
Albacete,N-310,Radar Fijo,126.39,Creciente
Albacete,N-322,Radar Fijo,315.988,Creciente
Albacete,N-322,Radar Fijo,327.274,Decreciente
Albacete,N-322,Radar Móvil,268.680-289.520,289.520
Albacete,N-322,Radar Móvil,316.290-347.100,347.100
Albacete,N-322,Radar Móvil,356.920-395.380,395.380
Albacete,N-322,Radar Fijo,367.1,Creciente
Albacete,N-322,Radar Móvil,408.500-425.590,425.590
Albacete,N-344,Radar Tramo,109.995(8.545m),m)
Albacete,N-344,Radar Tramo,117.995(8.542m),m)
Albacete,N-430,Radar Fijo,484.505,Creciente
Albacete,N-430,Radar Móvil,419.520-445.980,445.980
Albacete,N-430,Radar Móvil,463.750-511.940,511.940
Albacete,N-430,Radar Tramo,486.58(16.387m),m)
Albacete,N-430,Radar Tramo,502.945(16.387m),m)
Alicante,A-7,Radar Fijo,487.695,Creciente
Alicante,A-7,Radar Fijo,521.996,Creciente
Alicante,A-70,Radar Fijo,2.308,Creciente
Alicante,A-70,Radar Fijo,2.494,Decreciente
Alicante,A-70,Radar Fijo,4.375,Creciente
Alicante,A-70,Radar Fijo,4.629,Decreciente
Alicante,A-70,Radar Fijo,18.5,Decreciente
Alicante,A-70,Radar Fijo,23.39,Decreciente
Alicante,CV-70,Radar Móvil,0.000-48.800,48.800
Alicante,CV-70,Radar Móvil,48.790-49.300,49.300
Alicante,CV-725,Radar Móvil,4.480-8.130,8.130
Alicante,CV-734,Radar Fijo,6.05,Creciente
Alicante,CV-767,Radar Móvil,1.040-5.460,5.460
Alicante,CV-807,Radar Móvil,0.000-7.080,7.080
Alicante,CV-809,Radar Móvil,0.000-5.350,5.350
Alicante,CV-81,Radar Móvil,21.050-41.150,41.150
Alicante,CV-81,Radar Móvil,41.110-57.000,57.000
Alicante,CV-820,Radar Móvil,0.000-8.890,8.890
Alicante,CV-83,Radar Fijo,7.05,Decreciente
Alicante,CV-84,Radar Móvil,0.000-6.290,6.290
Alicante,CV-855,Radar Móvil,7.180-9.540,9.540
Alicante,CV-865,Radar Móvil,0.120-8.760,8.760
Alicante,CV-865,Radar Móvil,8.760-11.740,11.740
Alicante,CV-900,Radar Móvil,0.000-13.260,13.260
Alicante,CV-904,Radar Móvil,0.000-6.540,6.540
Alicante,CV-91,Radar Fijo,18.888,Decreciente
Alicante,CV-91,Radar Móvil,12.560-18.430,18.430
Alicante,CV-91,Radar Fijo,15.3,Creciente
Alicante,CV-95,Radar Móvil,0.000-22.840,22.840
Alicante,N-325,Radar Móvil,6.510-8.170,8.170
