Ciudad,via,tipo radar,km,direccion
0.0,A-6,0,541.336,1
0.0,A-6,0,561.163,0
0.0,AC-11,0,3.129,1
0.0,AC-11,0,3.131,0
0.0,AC-110,1,18.55,18.550
0.0,AC-12,0,4.561,0
0.0,AC-12,0,8.33,1
0.0,AC-122,1,4.9,4.900
0.0,AC-133,1,10.95,10.950
0.0,AC-231,1,17.72,17.720
0.0,AC-305,1,39.7,39.700
0.0,AC-418,1,9.11,9.110
0.0,AC-441,1,18.49,18.490
0.0,AC-523,1,15.64,15.640
0.0,AC-524,1,19.81,19.810
0.0,AC-543,1,6.09,6.090
0.0,AC-543,1,31.64,31.640
0.0,AC-544,1,13.09,13.090
0.0,AC-546,1,15.07,15.070
0.0,AC-550,1,106.52,106.520
0.0,AC-552,1,31.01,31.010
0.0,AC-552,0,3.57,0
0.0,AC-552,1,88.82,88.820
0.0,AC-564,1,26.16,26.160
0.0,AC-566,1,41.78,41.780
0.0,AC-840,1,28.53,28.530
0.0,AC-840,0,14.8,0
0.0,AC-862,1,69.51,69.510
0.0,AC-862,0,37.6,0
0.0,AG-11,0,5.134,0
0.0,AG-11,0,10.852,0
0.0,AG-11,0,26.579,1
0.0,AG-11,0,20.03,1
0.0,AG-55,1,,m)
0.0,AG-64,1,,m)
0.0,AP-9,0,83.476,0
0.0,AP-9F,1,,m)
0.0,CG-1.5,1,26.78,26.780
0.0,CG-1.5,0,16.1,1
0.0,DP-1914,1,29.17,29.170
0.0,DP-1914,0,7.7,0
0.0,DP-5813,1,1.29,1.290
0.0,DP-5813,1,5.8,5.800
0.0,FE-14,0,4.249,0
0.0,N-525,1,337.6,337.600
0.0,N-547,0,87.417,0
0.0,N-547,1,88.74,88.740
0.0,N-550,0,76.925,0
0.0,N-550,1,36.908,36.908
0.0,N-550,0,55.8,1
0.0,N-550,1,,m)
0.0,N-550,1,83.32,83.320
0.0,N-634,0,680.038,0
0.0,N-634,0,695.255,0
0.0,N-634,1,688.0,688.000
0.0,N-651,1,27.67,27.670
0.0,N-VI,1,588.19,588.190
0.0,VG-1.2,1,5.81,5.810
2.0,A-30,0,49.234,0
2.0,A-31,0,50.601,0
2.0,A-31,0,127.006,0
2.0,A-31,0,137.894,1
2.0,CM-220,1,34.8,34.800
2.0,CM-3106,1,32.39,32.390
2.0,CM-3106,1,59.35,59.350
2.0,CM-3121,1,30.87,30.870
2.0,CM-313,1,65.1,65.100
2.0,CM-313,1,127.43,127.430
2.0,CM-3135,1,16.89,16.890
2.0,CM-3135,1,37.4,37.400
2.0,CM-320,1,24.3,24.300
2.0,CM-3211,1,29.91,29.910
2.0,CM-3212,1,10.28,10.280
2.0,CM-3213,1,30.22,30.220
2.0,CM-3215,1,17.09,17.090
2.0,CM-3218,1,11.88,11.880
2.0,CM-3222,1,17.96,17.960
2.0,CM-3226,1,21.96,21.960
2.0,CM-332,1,56.01,56.010
2.0,CM-400,1,44.07,44.070
2.0,CM-412,1,168.52,168.520
2.0,CM-412,1,272.75,272.750
2.0,CM-412,1,344.68,344.680
2.0,N-301,1,274.77,274.770
2.0,N-301,1,300.9,300.900
2.0,N-301,1,337.45,337.450
2.0,N-310,1,144.99,144.990
2.0,N-310,0,126.39,0
2.0,N-322,0,315.988,0
2.0,N-322,0,327.274,1
2.0,N-322,1,289.52,289.520
2.0,N-322,1,347.1,347.100
2.0,N-322,1,395.38,395.380
2.0,N-322,0,367.1,0
2.0,N-322,1,425.59,425.590
2.0,N-344,1,,m)
2.0,N-344,1,,m)
2.0,N-430,0,484.505,0
2.0,N-430,1,445.98,445.980
2.0,N-430,1,511.94,511.940
2.0,N-430,1,,m)
2.0,N-430,1,,m)
3.0,A-7,0,487.695,0
3.0,A-7,0,521.996,0
3.0,A-70,0,2.308,0
3.0,A-70,0,2.494,1
3.0,A-70,0,4.375,0
3.0,A-70,0,4.629,1
3.0,A-70,0,18.5,1
3.0,A-70,0,23.39,1
3.0,CV-70,1,48.8,48.800
3.0,CV-70,1,49.3,49.300
3.0,CV-725,1,8.13,8.130
3.0,CV-734,0,6.05,0
3.0,CV-767,1,5.46,5.460
3.0,CV-807,1,7.08,7.080
3.0,CV-809,1,5.35,5.350
3.0,CV-81,1,41.15,41.150
3.0,CV-81,1,57.0,57.000
3.0,CV-820,1,8.89,8.890
3.0,CV-83,0,7.05,1
3.0,CV-84,1,6.29,6.290
3.0,CV-855,1,9.54,9.540
3.0,CV-865,1,8.76,8.760
3.0,CV-865,1,11.74,11.740
3.0,CV-900,1,13.26,13.260
3.0,CV-904,1,6.54,6.540
3.0,CV-91,0,18.888,1
3.0,CV-91,1,18.43,18.430
3.0,CV-91,0,15.3,0
3.0,CV-95,1,22.84,22.840
3.0,N-325,1,8.17,8.170
