km,ciudad,siniestralidad
"N-634, Km 104-107",Vizcaya,"23 accidentes, 30 heridos leves, 1 grave"
"PO-311, km 12-15",Pontevedra,"13 accidentes, 19 heridos leves, 1 fallecido"
"CV-821, Km 5-8",Alicante,"11 accidentes, 11 heridos leves"
"CV-670, Km 1-4",Valencia,"10 accidentes, 11 heridos leves"
"GR-3304, Km 2-5",Granada,"8 accidentes, 12 heridos leves, 1 grave"
"N-122, km 358",Valladolid,
"N-632, km 55",Asturias,
A-55,Pontevedra,
N-630,Asturias,
"N-432, km 142 -153",Badajoz,
"N-260, km 117 y 179",Gerona,
"N-234, km 398 – 408",Soria,
"N-330, km 624 – 643",Huesca,
"N-629, km 33 – 48",Burgos,
"N-320, km 177",Cuenca,
